path,tracked,status_code,exists_on_disk,size_bytes,sha256,source_table,generated_by,reporting_task,maintenance_context
afp-engine/src/test/java/com/upland/connect/afp/engine/AfpGroundTruthComparisonTest.java,1,,1,3199,ad019d7fd69faab2b872acd6f324a1b7cb14ecb12136068c70e3ba0a51b7311e,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/test/java/com/upland/connect/afp/engine/AfpInterpreterTest.java,1,,1,3902,fcd89525965fa162e6ddc825062a710142935df45fe1b4d43bd2ae81e6af5e9c,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/test/java/com/upland/connect/afp/engine/AfpNativePdfRendererTest.java,1,,1,12989,1ea77437a54e5be7ca2bd2e68d5e0625fcf47f8a8a0ac9fe3564e81c4f560003,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/test/java/com/upland/connect/afp/engine/AfpPdfFidelityReportIT.java,1,,1,18881,202a2fb52471036b106ff54faf4a24e49be9e969b2a20ea66f4ada2767ffd9fc,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/test/java/com/upland/connect/afp/engine/AfpPrintCentricTraceEngineTest.java,1,,1,3963,93614a0e0cf7b0bac6a4b3e113b09602086502df6107b7663518ca4871c13646,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/test/java/com/upland/connect/afp/engine/AfpStructuredFieldParserTest.java,1,,1,1546,a72824fec8f3ef941d3586155e3a7f47ce533c0f5c0c8f200081678e9b8e19b9,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/test/java/com/upland/connect/afp/engine/AfpTextDecodersTest.java,1,,1,1161,b96e060b0c8c846753803d80c42f66df7babc0f49c64fc1d73ac879ced28cad4,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/test/java/com/upland/connect/afp/engine/DefaultAfpConverterTest.java,1,,1,7840,eb083fb9e1edcaa854a5c6ea8453b19b110cb487f1f62166c7ac0276a38d8c7b,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/test/java/com/upland/connect/afp/engine/ImageResolutionServiceTest.java,1,M,1,3159,59109e0835ec6c615c32d5ff964b553213ba12b1b3f3c10f3d7792b9907c4461,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/test/java/com/upland/connect/afp/engine/InProcAfpEngineAdapterTest.java,1,,1,14909,45b4bf95feb2e979f640fc3177d9fbf64730c678f93f2729f8182d2c8b79b5b2,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/test/java/com/upland/connect/afp/engine/PdfBoxPdfWriterTest.java,1,,1,1041,338d927c812392798fec8c2b87fa60b6e99570e8863658219e8f8b321aac3cdd,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-tools/build.gradle,1,D,0,0,,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-tools/src/main/java/com/upland/connect/afp/tools/BoilerplateSyncWorkbookUpdater.java,1,D,0,0,,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-tools/src/main/java/com/upland/connect/afp/tools/PolicyGovernanceWorkbookUpdater.java,1,D,0,0,,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-tools/src/main/java/com/upland/connect/afp/tools/ProjectPlanWorkbookUpdater.java,1,D,0,0,,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-tools/src/main/java/com/upland/connect/afp/tools/StateDatabaseTool.java,1,D,0,0,,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
build.gradle,1,M,1,44174,6308c77bada1e6fb660c60c39107579b6f2ccf742ffac4606a1d054f3aa52319,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
docs/API.md,1,,1,7604,8a8899762535f469313f1d9310f5a3ace7e1abd4de7da40b70dd6362df37ec71,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
docs/boilerplate-sync-candidates.xlsx,1,M,1,7602,132f16c12450190e865ce0caf3ecce4b83b1b9d5b668e73f8748ab37128d6359,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
docs/fidelity-corpus.txt,1,,1,153,e3750b6d368a66e26ac0885f120f4eaa9e3064393c2d396fbda6d942d80b8f32,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
docs/issues-log-template.csv,1,,1,275,344c8e1f896da05226f17ce1ccc16eedb36bd7924c13f7545a3c89f5b3c176ce,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
docs/issues-log.csv,1,M,1,5917,3f205f173e0c46bd7dcbfb30a5e8d4e10acb4ad9d74f8b16a12a93f6177876e3,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
docs/policy-governance-events.csv,1,M,1,1683,73257235811f2e8867a600e8765e4119527c282fe199b8a2e509f1182cb8e24f,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
docs/policy-governance-events.xlsx,1,M,1,4311,d6f8f8157f017c685ac7172f65ba8ab62d0e82d3328b064ea5d65526cc7e5708,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
